"timestamp", "dataset", "name", "split", "acc_mean", "acc_std", "n_way", "n_shot", "n_query"
20231209-134651,tabula_muris,relationnet_5w_5s_cosine_sum_7lg_1lf,val,81.42,11.191592744026568,5,5,15
20231209-134651,tabula_muris,relationnet_5w_5s_cosine_sum_7lg_1lf,test,78.62444444444444,11.068326292334367,5,5,15
20231209-134945,tabula_muris,relationnet_5w_5s_cosine_sum_2lg_2lf,train,90.07555555555555,8.914752373259912,5,5,15
20231209-134945,tabula_muris,relationnet_5w_5s_cosine_sum_2lg_2lf,val,84.6111111111111,9.245132185956157,5,5,15
20231209-134945,tabula_muris,relationnet_5w_5s_cosine_sum_2lg_2lf,test,79.66666666666667,10.421701005682895,5,5,15
20231209-135248,tabula_muris,relationnet_5w_5s_cosine_sum_2lg_1lf,train,90.73555555555555,8.424197657512526,5,5,15
20231209-135248,tabula_muris,relationnet_5w_5s_cosine_sum_2lg_1lf,val,81.51111111111112,11.118131115712426,5,5,15
20231209-135248,tabula_muris,relationnet_5w_5s_cosine_sum_2lg_1lf,test,78.61555555555555,11.102501330892473,5,5,15
20231209-135529,tabula_muris,relationnet_5w_5s_euclidean_sum_7lg_2lf,train,97.94444444444444,3.0056531099386623,5,5,15
20231209-135529,tabula_muris,relationnet_5w_5s_euclidean_sum_7lg_2lf,val,87.94888888888889,7.992240372563849,5,5,15
20231209-135529,tabula_muris,relationnet_5w_5s_euclidean_sum_7lg_2lf,test,86.46,8.544191876053278,5,5,15
20231209-135826,tabula_muris,relationnet_5w_5s_euclidean_sum_7lg_1lf,train,97.77777777777779,3.467236420416371,5,5,15
20231209-135826,tabula_muris,relationnet_5w_5s_euclidean_sum_7lg_1lf,val,86.58,9.39573819858218,5,5,15
20231209-135826,tabula_muris,relationnet_5w_5s_euclidean_sum_7lg_1lf,test,86.88888888888889,8.106574073545282,5,5,15
20231209-140120,tabula_muris,relationnet_5w_5s_euclidean_sum_2lg_2lf,train,97.95333333333333,2.9720998936404843,5,5,15
20231209-140120,tabula_muris,relationnet_5w_5s_euclidean_sum_2lg_2lf,val,87.9,8.06338317011837,5,5,15
20231209-140120,tabula_muris,relationnet_5w_5s_euclidean_sum_2lg_2lf,test,86.45777777777779,8.517219739960067,5,5,15
20231209-140409,tabula_muris,relationnet_5w_5s_euclidean_sum_2lg_1lf,train,97.78222222222222,3.4598194486539255,5,5,15
